City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
248,Merauke,ID,-8.4667,140.3333,77.54,91,100,7.36,light rain
249,Megion,RU,61.0296,76.1136,33.82,82,69,11.61,broken clouds
250,La Rioja,ES,42.25,-2.5,62.38,54,93,8.28,overcast clouds
251,Sarahan,IN,31.5167,77.8,44.47,60,0,5.7,clear sky
252,Guerrero Negro,MX,27.9769,-114.0611,82.71,45,0,10.09,clear sky
253,Hovd,MN,48.0056,91.6419,39.74,50,100,7.63,overcast clouds
254,Buala,SB,-8.145,159.5921,83.79,73,57,7.25,light rain
255,Tezu,IN,27.9167,96.1667,67.06,63,8,3.44,clear sky
256,Calvinia,ZA,-31.4707,19.776,69.08,42,42,3.4,scattered clouds
257,Leshukonskoye,RU,64.8989,45.7622,36.63,86,100,7.94,overcast clouds
258,Kasungu,MW,-13.0333,33.4833,68.27,51,62,4.38,broken clouds
259,Walvis Bay,NA,-22.9575,14.5053,59.09,94,20,5.75,few clouds
260,Margate,GB,51.3813,1.3862,59.9,81,100,4.0,overcast clouds
261,Bredasdorp,ZA,-34.5322,20.0403,59.76,96,37,3.76,scattered clouds
262,Mazatlan,MX,23.2167,-106.4167,87.03,74,21,8.01,few clouds
263,Kosa,RU,59.9445,54.9977,35.15,96,96,4.79,overcast clouds
264,Kwinana,AU,-32.25,115.7667,58.14,62,2,6.98,clear sky
265,Puerto Escondido,MX,15.85,-97.0667,78.01,92,100,14.81,light rain
266,Zhigansk,RU,66.7697,123.3711,15.67,95,100,7.52,light snow
267,Tuatapere,NZ,-46.1333,167.6833,52.74,52,79,7.29,broken clouds
268,Yulara,AU,-25.2406,130.9889,59.5,66,0,12.1,clear sky
269,Egvekinot,RU,66.3167,-179.1667,19.06,95,100,7.72,snow
270,Kamenka,RU,51.3223,42.7678,51.24,63,100,14.03,overcast clouds
271,Kavaratti,IN,10.5669,72.642,80.38,78,100,20.89,overcast clouds
272,Cap Malheureux,MU,-19.9842,57.6142,67.46,72,62,1.99,broken clouds
273,Irbeyskoye,RU,55.6428,95.4522,35.31,90,47,8.14,scattered clouds
274,Mount Isa,AU,-20.7333,139.5,76.77,73,21,3.44,few clouds
275,Kaoma,ZM,-14.7833,24.8,70.03,30,70,7.09,broken clouds
276,Pomabamba,PE,-8.8333,-77.4667,58.21,62,99,2.3,light rain
277,Aklavik,CA,68.2191,-135.0107,28.4,93,100,2.3,fog
278,Stornoway,GB,58.2093,-6.3865,49.96,87,100,9.22,overcast clouds
279,Rorvik,NO,64.8621,11.2373,42.91,87,75,8.05,light rain
280,Ridgecrest,US,35.6225,-117.6709,89.65,15,32,8.99,scattered clouds
281,Ayorou,NE,14.7308,0.9174,89.06,15,14,7.27,few clouds
282,Shimanovsk,RU,52.0,127.7,30.09,66,18,5.19,few clouds
283,Homer,US,59.6425,-151.5483,47.77,78,100,1.99,overcast clouds
284,Cabra,ES,37.4725,-4.4421,73.38,48,95,2.68,overcast clouds
285,Izberbash,RU,42.5696,47.8645,48.25,80,0,12.41,clear sky
286,Jimma,ET,7.6667,36.8333,58.08,93,95,1.05,overcast clouds
287,Igarka,RU,67.4667,86.5833,33.06,90,100,12.97,overcast clouds
288,Banda Aceh,ID,5.5577,95.3222,78.49,83,96,15.1,overcast clouds
289,Kefamenanu,ID,-9.4467,124.4781,74.25,86,84,0.85,broken clouds
290,Hillsborough,US,37.5741,-122.3794,86.31,55,0,6.91,clear sky
291,Kununurra,AU,-15.7667,128.7333,78.78,78,76,0.0,broken clouds
292,Okitipupa,NG,6.5047,4.7839,74.73,97,92,2.37,light rain
293,Sayat,TM,38.7839,63.8803,55.27,34,100,9.4,overcast clouds
294,San Matias,BO,-16.3667,-58.4,87.26,47,48,1.25,scattered clouds
295,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,39.79,45,20,20.13,few clouds
296,Dingle,PH,10.9995,122.6711,76.33,92,97,3.53,overcast clouds
297,Barahona,DO,18.2085,-71.1008,87.62,74,40,16.11,scattered clouds
298,Lasa,IT,46.6166,10.7002,50.36,84,2,5.1,clear sky
299,Georgetown,MY,5.4112,100.3354,80.53,94,20,2.3,few clouds
300,Houston,US,29.7633,-95.3633,70.32,29,0,17.27,clear sky
301,Longonjo,AO,-12.9067,15.2533,67.24,59,65,1.77,broken clouds
302,Villa Maria,AR,-32.4075,-63.2402,67.82,66,60,10.63,broken clouds
303,Marrakesh,MA,31.6315,-8.0083,80.67,41,20,4.61,few clouds
304,Conceicao Do Araguaia,BR,-8.2578,-49.2647,88.63,26,81,3.29,broken clouds
305,Parrita,CR,9.5201,-84.3225,78.94,85,99,2.77,overcast clouds
306,Nikolayevka,RU,53.1257,47.2041,53.04,85,100,16.44,overcast clouds
307,Woodward,US,36.4337,-99.3904,59.97,21,0,0.0,clear sky
308,Westport,US,41.1415,-73.3579,56.82,57,4,1.99,clear sky
309,Xining,CN,36.6167,101.7667,42.67,43,100,2.66,overcast clouds
310,Loa Janan,ID,-0.583,117.095,74.17,99,100,1.16,overcast clouds
311,Dolores,AR,-36.3132,-57.6792,58.87,74,23,11.05,few clouds
312,Cherskiy,RU,68.75,161.3,6.73,85,100,6.46,overcast clouds
313,Shancheng,CN,34.7953,116.0817,46.71,33,0,6.69,clear sky
314,Husavik,IS,66.0449,-17.3389,35.24,79,82,10.38,broken clouds
315,Half Moon Bay,US,37.4636,-122.4286,87.53,53,0,6.91,clear sky
316,Qui Nhon,VN,13.7667,109.2333,72.88,88,97,4.14,overcast clouds
317,Roma,US,43.2128,-75.4557,47.08,74,63,3.0,broken clouds
318,Axim,GH,4.8699,-2.2405,77.65,87,63,6.33,broken clouds
319,Henties Bay,NA,-22.116,14.2845,58.6,89,22,3.31,few clouds
320,Dahuk,IQ,36.8695,42.994,72.81,24,37,5.48,scattered clouds
321,Mongomo,GQ,1.6274,11.3135,67.57,99,99,2.95,light rain
322,Fortuna,US,40.5982,-124.1573,68.94,71,0,13.8,clear sky
323,Lishu,CN,43.3047,124.3278,34.72,61,1,7.78,clear sky
324,Piacabucu,BR,-10.4056,-36.4344,76.62,78,12,12.75,few clouds
325,Pacific Grove,US,36.6177,-121.9166,85.33,63,49,5.99,scattered clouds
326,Cefalu,IT,38.0386,14.0229,68.54,82,0,4.0,clear sky
327,Tomatlan,MX,19.9333,-105.25,85.95,70,49,7.05,scattered clouds
328,Honiara,SB,-9.4333,159.95,84.43,70,69,5.66,broken clouds
329,Kashi,CN,39.4547,75.9797,60.01,29,70,6.71,broken clouds
330,Santa Cruz Das Palmeiras,BR,-21.8269,-47.2486,72.73,73,75,10.36,moderate rain
331,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,87,0,5.75,clear sky
332,Baruun-Urt,MN,46.6806,113.2792,34.93,26,9,11.56,clear sky
333,Santa Cruz Do Capibaribe,BR,-7.9575,-36.2047,72.03,77,28,11.21,scattered clouds
334,Qasigiannguit,GL,68.8193,-51.1922,33.22,99,100,2.64,snow
335,Bima,ID,-8.4667,118.7167,78.62,86,100,0.89,overcast clouds
336,Sokolo,ML,14.7328,-6.1219,90.66,20,31,6.22,scattered clouds
337,Khandbari,NP,27.3747,87.2039,57.51,49,0,4.41,clear sky
338,Terrace,CA,54.5163,-128.6035,57.11,94,100,11.5,light rain
339,Bowling Green,US,36.9903,-86.4436,49.14,51,41,13.38,scattered clouds
340,Hoshcha,UA,50.6003,26.6744,54.37,77,100,11.14,overcast clouds
341,Gwadar,PK,25.1216,62.3254,79.34,66,78,8.03,broken clouds
342,Mingaora,PK,34.7758,72.3625,59.54,64,0,5.99,clear sky
343,Cassilandia,BR,-19.1133,-51.7342,75.76,63,99,13.27,overcast clouds
344,Zhangye,CN,38.9342,100.4517,48.63,22,10,3.8,clear sky
345,Tambura,SS,5.6,27.4667,69.31,91,89,1.66,overcast clouds
