City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
250,Salto,UY,2022-10-15 17:00:46,-31.3833,-57.9667,71.87,59,73,8.01
251,Bilibino,RU,2022-10-15 17:00:47,68.0546,166.4372,-8.66,100,98,2.21
252,Severo-Kurilsk,RU,2022-10-15 17:00:47,50.6789,156.125,43.39,82,100,14.27
253,Blackfoot,US,2022-10-15 17:00:47,43.1905,-112.345,61.54,25,92,14.27
254,Mutsu,JP,2022-10-15 17:00:48,41.2894,141.2169,57.87,91,24,2.48
255,Amapa,BR,2022-10-15 17:00:48,1.0,-52.0,96.75,32,49,7.29
256,Jinka,ET,2022-10-15 17:00:49,5.65,36.65,68.22,65,80,1.48
257,Port Blair,IN,2022-10-15 17:00:49,11.6667,92.75,80.8,79,24,3.65
258,Erenhot,CN,2022-10-15 17:00:50,43.6475,111.9767,34.38,23,0,5.08
259,Esperance,AU,2022-10-15 17:00:50,-33.8667,121.9,53.44,87,46,10.02
260,Pauini,BR,2022-10-15 17:00:51,-7.7136,-66.9764,87.49,63,80,3.53
261,Morro Da Fumaca,BR,2022-10-15 17:00:51,-28.6508,-49.21,63.01,93,100,6.42
262,Williamsport,US,2022-10-15 16:56:13,41.2412,-77.0011,68.4,58,23,3.0
263,Maumere,ID,2022-10-15 17:00:52,-8.6199,122.2111,80.2,82,68,6.4
264,Daru,PG,2022-10-15 17:00:53,-9.0763,143.2092,79.68,88,100,11.39
265,Dicabisagan,PH,2022-10-15 17:00:53,17.0818,122.4157,77.02,87,100,8.3
266,Batsfjord,NO,2022-10-15 17:00:54,70.6345,29.7185,33.73,93,20,5.75
267,Nemuro,JP,2022-10-15 17:00:55,43.3236,145.575,56.3,86,18,4.81
268,Ndele,CF,2022-10-15 17:00:55,8.4109,20.6473,77.63,74,85,2.66
269,Champerico,GT,2022-10-15 17:00:55,14.3,-91.9167,80.37,78,98,2.15
270,Harper,LR,2022-10-15 17:00:56,4.375,-7.7169,80.29,73,61,10.54
271,Balkhash,KZ,2022-10-15 17:00:56,46.844,74.9804,55.51,43,100,9.55
272,Kahului,US,2022-10-15 17:00:57,20.8947,-156.47,76.84,94,79,5.99
273,Boffa,GN,2022-10-15 17:00:57,10.1667,-14.0333,80.11,82,64,2.21
274,Carutapera,BR,2022-10-15 17:01:58,-1.195,-46.02,87.55,57,92,10.69
275,Nagato,JP,2022-10-15 17:01:58,34.3833,131.2,65.64,85,0,4.97
276,Curaca,BR,2022-10-15 17:01:59,-8.9903,-39.9094,95.38,17,53,15.05
277,Lebu,CL,2022-10-15 17:01:59,-37.6167,-73.65,56.61,66,94,18.95
278,General Roca,AR,2022-10-15 17:02:00,-39.0333,-67.5833,73.6,13,20,14.74
279,Gwembe,ZM,2022-10-15 17:02:00,-16.4975,27.6069,75.9,18,16,3.49
280,Lucknow,IN,2022-10-15 17:00:39,26.85,80.9167,75.18,94,20,0.0
281,Ngorongoro,TZ,2022-10-15 17:02:01,-3.2397,35.4875,58.91,55,92,3.24
282,Kimbe,PG,2022-10-15 17:02:01,-5.5502,150.1429,76.6,91,99,2.93
283,Sur,OM,2022-10-15 17:02:02,22.5667,59.5289,81.21,40,1,6.06
284,Raga,SS,2022-10-15 17:02:03,8.4596,25.678,72.18,87,100,5.23
285,Derzhavinsk,KZ,2022-10-15 17:02:03,51.1,66.3167,52.52,45,58,3.8
286,Winton,US,2022-10-15 17:02:04,37.3894,-120.6133,66.11,63,0,9.22
287,Sharjah,AE,2022-10-15 16:57:30,25.3573,55.4033,89.58,62,0,10.36
288,Zyryanka,RU,2022-10-15 17:02:04,65.75,150.85,3.56,99,98,5.32
289,Taylors,US,2022-10-15 17:02:04,34.9204,-82.2962,77.58,41,0,17.27
290,Husavik,IS,2022-10-15 16:57:18,66.0449,-17.3389,37.35,98,100,30.58
291,Coihaique,CL,2022-10-15 17:02:05,-45.5752,-72.0662,56.19,70,100,6.2
292,Kaitangata,NZ,2022-10-15 17:02:06,-46.2817,169.8464,48.06,85,99,3.27
293,Jatiroto,ID,2022-10-15 17:02:06,-7.8833,111.1167,73.94,94,100,3.15
294,Kudahuvadhoo,MV,2022-10-15 17:02:06,2.6708,72.8944,80.35,80,96,16.64
